"label"	"post"	"post_augmented"
"ENTJ"	"i hypothesize that adhd is more psychological than phisological. if that first premis is true then i proceed to hypothesize that some mindfulness and mastery of the mind can cure it. being addicted..."	"i hypothesize adhd is more than phisological. if first is then i proceed to that some mindfulness of the can it. being addicted. .."
"ENTJ"	"i remember as a young kid, like the age of 7 or 8 when one's parents doesn't allow one outside the front yard, that i used to want to go and explore like crazy. so one day, myself and my new..."	"remember as a young kid, like the of or 8 ' s parents doesn ' t allow one outside the yard, that used to want to go and explore like crazy. so one day, myself. .."
"ENTJ"	"i think that questioning what i am at all is... we will call it silly. haha i could imagine that some people could get some sort of satisfaction about pretending to be a certain type. you know,..."	"i think that what am at all is. .. we will silly. haha i could imagine that some people get some sort of about to a type. know, ..."
"ENTJ"	"yes, through personal spiritual experiences. as they say, i felt i was touched and have been spiritual since. i wouldn't say religious, since a lot of the dogma bewilder me but to each his own."	"yes, through. they say, i felt i was touched and have been spiritual since. i wouldn ' say, a lot dogma bewilder me but each his own."
"ENTJ"	"no, not necessarily large scale, the holocaust is always a classic go to type movie for perpetual dooming devastating sadness. its really both that does it for me... its like... i have a deep..."	"no, necessarily large, is a classic go to type for perpetual dooming devastating sadness. its both that does it me. .. .. . i have a deep. .."
"ENTJ"	"it's actually pretty common for entjs to 'avoid people' since their dominant function isn't really about relating to people in a traditional sense. the way they express their extroverted tendencies..."	"it ' s actually common to ' ' their dominant function ' t really about relating to people in traditional sense. way they express extroverted tendencies. .."
"ENTJ"	"the whole movement is characteristic of the mob. opinionated but confused, blundering, aimless, and without solutions. they're waiting for someone to lead them. it is this leader who i will take..."	"whole is characteristic of. opinionated confused, blundering, aimless, . they ' re for someone to lead them. it is this who i will take. .."
"ENTJ"	"i experienced the same thing. most of my teachers used a weighted grading system, making tests up to 65% of the classes overall grade. i learned quickly that i didn't need to do most of my homework..."	"i the. most my teachers used weighted system, up to 65% of the classes overall grade. i learned quickly that i didn ' need to do most of my. .."
"ENTJ"	"i love the idea of a list of activities for people to choose from! i make up menu plans and put them on the fridge and let the kids pick from that list, so they don't feel like the are on a..."	"i love idea of a list activities for people to choose from! i up menu plans and on the fridge let the kids pick from that list, they don ' feel like the are. .."
"ENTJ"	"depends on the bond, yes. had a childhood friend that i hadn't seen in 2 years, but he was my neighbour and friend for years. he took suicide. didn't feel like driving 45 minutes to attend his..."	"depends on the, . had childhood friend that i hadn ' t seen 2 years, but my neighbour and friend for years. . didn ' t feel driving 45 minutes to attend his. .."
"ENTJ"	"to quote, for further information: although, to some extent, eights fear physical harm, far more important is their fear of being disempowered or controlled in some way. eights are..."	"to quote, further information: although, to extent, eights harm, more important their of being disempowered controlled in. eights are. .."
"ENTJ"	"the way i experience ni is in visions, which i then communicate as metaphors. for instance we needed to create a process which spawns off child processes which come back to the parent. but the..."	"the i experience ni is in visions, i then as metaphors. for we needed to create a which spawns off processes come to. but the. .."
"ENTJ"	"oh jeezzz......just an fyi... my <mbti> has infiltrated this thread. he's lurking and reading.... all hell breaks loose. everything is now thrown out including the kitchen sink. time to break..."	"oh jeezzz. .. .. . an fyi. .. my <mbti> has infiltrated this thread. he ' lurking and. .. . breaks loose. everything is thrown kitchen sink. to break. .."
"ENTJ"	"uh why hasnt anyone in this thread bothered with functions? that will determine your type, not do you get drained by people or are you organized, etc? have you checked out whether or not you..."	"uh why anyone in this thread bothered with? that will determine, you drained people are you organized, ? have you checked out whether or not you. .."
"ENTJ"	"i drive 2 hours to a building for a meeting after hawking email for cancellations all morning... and 2 minutes before it starts, it's rescheduled to tomorrow. ffffffff dial in it is."	"drive 2 to a for a meeting hawking email for all morning. .. 2 minutes before it, it ' rescheduled to tomorrow. dial in it."
"ENTJ"	"attractions based on abstract concepts are not appealing for my tastes as well. i'm most definitely not a fan of putting unnecessary boundaries in my life such as these. treasures can be found in..."	"attractions on abstract concepts are my tastes as. i ' m most definitely not a fan putting unnecessary in life such these. treasures can be in. .."
"ENTJ"	"went back and realized i am 8w7 and the description is ridiculous. materialistic. prone to addiction.highly assertive. risk-taking.. its amazing how accurate these things can be.. i mean..."	"went back and realized i am and the description. . prone to. highly. risk - taking. . its amazing accurate these be. . mean. .."
"ENTJ"	"my gut feeling prompts me to apply logic to it. example; gut/intuition; i think this is the best course of actions, because i think the other path will possibly make my plans go awry logic;..."	"my feeling prompts me to logic it. example; gut / intuition; think is the best course of, because think the other will possibly make my go logic; ..."
"ENTJ"	"i agree with these typings, except for donna. she doesn't seem very <mbti> to me. also, i think kitty could go either e or i, but i lean towards e."	"i agree these typings, . she ' t seem very <mbti> me. , i think kitty go either e or i, but lean towards."
"ENTJ"	"yes indeed. i find that if i show the real me, people will find me very strange and avoid me - so i act accordingly. i only do the chameleon-personality if i find i have something to gain from the..."	"yes indeed. i find that if i show, people will find me very strange and avoid - so act accordingly. i do chameleon - if i find something to gain from the. .."
"ENTJ"	"not knowing a website link, or doing research and finding more data. there's more pages than just the first page of a search result."	"knowing a link, finding more data. there ' s more pages just the first of a search."
"ENTJ"	"you're a te dominant. 1. focus on external evidence to evaluate new ideas. 2. focus on being right, combined with looking forward to being wrong. 3. focus on achievements and results. 4. i'm..."	"you ' re a te dominant. . focus evidence to evaluate new. 2. on right, combined with looking to being wrong. . focus on achievements and results. . ' m. .."
"ENTJ"	"urm, it's the other way around. have you ever met an <mbti> that blended into a crowd of people? not a chance, them along with most other sjs are born leaders/organizers. where did you get the idea..."	"urm, it ' s the other way around. have you met <mbti> blended into a crowd of? not a, them along with most other are born / organizers. you get the. .."
"ENTJ"	"eh go buy a strap on. good enough. :d <url> things. <url> and me too! spread the word! you can't stop the signal!!!"	"eh a strap on. enough. : d <> things. <url> me! spread the! you ' the signal! !!"
"ENTJ"	"um, totally off rofl. i am female, 30, no opinion on my own intelligence although above-average seems accurate. i think i have both liberal and conservative values. and i'm an <mbti>. lol gender:..."	"um, rofl. i am female, , no opinion on my own intelligence although - average seems accurate. i both and conservative values. and ' an <mbti>. lol gender: ..."
"ENTJ"	"<url> is a hot and stimulating debate! keep it up also, it seems to be answering the orginal question posed by the thread."	"< url> is a debate! keep it up also, it to answering the orginal question."
"ENTJ"	"i love (and hate) politics, and whenever i assess a politician i put myself in their position and the big-picture becomes more clear. with all the different views held by people it is difficult to..."	"i love (and hate) politics, whenever i assess politician i myself in their and the big - becomes more clear. all the views people it is to. .."
"ENTJ"	"lol, hillary as as 1 as they come. that she's ruthless and power hungry is not something exclusive to other types, and typing her on her political ambitions and career alone is a bad idea. people who..."	"lol, hillary as as 1 as come. that she ' s ruthless and hungry not something exclusive other, and her on political ambitions and career a idea. people who. .."
"ENTJ"	"ha, it's a piece of cake! i can give some relevant cues. try working from the premis that you are a soul and that your mind is a just like your body. and just like a muscle you can instantly stop..."	"ha, ' piece of cake! can give relevant cues. try working from the premis that you are soul and that your mind is a like your. and like muscle you can instantly stop. .."
"ENTJ"	"in order for this relationship to work out, there should be a lot of communication in order to really understand each other. it's a fantastic relationship when two aren't involved in a deeper level...."	"in order for this relationship work out, there should be lot of communication in order to understand each other. ' a fantastic when ' t involved in deeper. ..."
"ENTJ"	"people actually misinterpret the spinning lady as a left brain/right brain form of test. it is actually created as an optical illusion and often mistaken as a test."	"people actually the spinning lady brain / right brain form of test. it an optical illusion and mistaken as test."
"ENTJ"	"lol exactly, just include the eyes looking upward and the lips pursed to one side with an audible hmmmpfff?"	"lol exactly, include the upward and pursed one side with audible hmmmpfff?"
"ENTJ"	"np :) well i rarely like being touched, and most <mbti>'s i know is more or less the same, but when we like some one we let them get that close. this is a generational on my part as well."	"np:) well rarely like being touched, most <mbti> ' s i is or less the, but we like one we let get that close. this is a on my part as."
"ENTJ"	"although i always test as an <mbti>, sometimes i feel like a bit of an <mbti>. i think most people who think they are dual typed will have a split between e and i."	"i always as an <mbti>, sometimes i feel like a of an <mbti>. i think most people who think they are between e and."
"ENTJ"	"i can definitely see that. in the environment i was in it was used in a much different reference. i'm a little intoxicated but i think the best i could describe it would be like this. hey it sucks..."	"i can definitely see that. in i it used in a different reference. i ' m a little but i the best i could it be like this. hey it sucks. .."
"ENTJ"	"*reads over the preceding commentary* @knifey let me guess, you have very weak introversion and are in fact almost an extravert, right? right on the border, there? you verbally poke in the..."	"* the commentary * @ let guess, you have very weak introversion and are fact almost an extravert, right? right on border, there? in the. .."
"ENTJ"	"he doesn't have emotional outbursts, he just does embarrassing things in public like like talking too loudly in the train, attempting to converse with people who look like they want to be left..."	"he doesn ' t have emotional outbursts, he just does embarrassing things in like talking too loudly, attempting converse who look want to be left. .."
"ENTJ"	"i think i figured out part of what he doesn't like about me...wow. <mbti> relationships the <mbti> is outspoken, a person of principles, which are readily and directly expressed. estjs are not..."	"i think i figured out part what he ' like. .. wow. <mbti> relationships the <mbti> is outspoken, person principles, are readily and directly. are not. .."
"ENTJ"	"i don't have the experience of starting a new job, but i can see why this would happen. entjs don't usually get nervous about things, but this situation, but as some others said, it is the unknown..."	"don ' t experience of starting a new job, but can see this would happen. entjs ' t usually get nervous things, but situation, but some others said, it is the. .."
"ENTJ"	"i am actually thankful for your mentioning this, because i didn't realize till now how much i do this. i have a tendency to say things (both in giving advice and in making observations) regardless of..."	"i actually for your, because didn ' realize till now how much i this. i have a tendency to say things (both in and in making) regardless of. .."
"ENTJ"	"hi! i'm so thrilled about your post, since i saw your video on youtube not long ago and wanted to make a response. first of all, i will assume that you still vascillate between types. i'm an <mbti> 8w7..."	"hi! i ' so thrilled about your, since i saw your video on youtube not and wanted make response. first all, i will assume vascillate between types. i ' m an <mbti> 8w7. .."
"ENTJ"	"i'm against homosexuality because of my religion. i have nothing against the homosexual. in other words, i have nothing against the people who made this choice; what i dislike is the choice itself."	"i ' homosexuality because my. i have nothing the. in other words, nothing against the who made this; what i dislike is the choice itself."
"ENTJ"	"type 6 nine inch nails, 6w5 (the hand that feeds) disdain & self-loathing <url> nine inch nails - the hand that feeds lyrics | metrolyrics the arctic..."	"type 6 inch, (hand feeds) disdain & self - <> nails - hand that feeds lyrics | metrolyrics the arctic. .."
"ENTJ"	"this. this. all of this! (and this is probably why the friend that has been most supportive and there for me in the ways i've needed has not been the <mbti>, <mbti> or <mbti> i would have expected - but my..."	"this. this. all of this! (and this is probably the been most supportive and for in the ways ' ve needed has the <mbti>, <mbti> or <mbti> i would have - but my. .."
"ENTJ"	"each time i take the mbti i am closer to becoming an <mbti>, only off by 6% last time round. do you think i'd make a good a <mbti>? as i slowly become more evil."	"time i the mbti i am to becoming an <mbti>, only 6% round. do you think i ' d make a <mbti>? as i become more evil."
"ENTJ"	"we butt heads constantly, as we are both <mbti>'s, but as long as we live a few states away from each other we get along great."	"we butt heads constantly, as both <mbti> ' s, as long we live a each other along great."
"ENTJ"	"if they persist with their flirting, i'll be pretty straight up and down: no. i'm not interested. just friends. please quit making it awkward or i'll blatantly ignore you."	"if they persist with their flirting, i ' be pretty straight up: no. i ' m not. just. please quit it awkward i ' ll."
"ENTJ"	"yes, you are right. i say these things out loud all the time since i do tend to talk without thinking. i should learn from the intjs and keep these things to myself. one day i will get this right...."	"yes, you are right. i say these things all since i do tend talk without thinking. i should learn the intjs keep these things to myself. day i will this. ..."
"ENTJ"	"marac, maybe you misunderstood. in real life, people dont drag their mbti type along with them when they talk/interact to someone. for personality types, i appreciate people not base on that, but..."	"marac, maybe misunderstood. life, dont drag their type with them when they talk / interact to someone. for personality, i not base that, but. .."
"ENTJ"	"let me continue, robert fripp is an <mbti>. he once say that he was struggle to learn how to play guitar, thought that he was tone deaf and it took 7 years for him to finally master his chosen..."	"let continue, fripp is an <mbti>. he say that he was struggle to how play guitar, thought that he was deaf and 7 years him to finally his chosen. .."
"ENTJ"	"this would be an example of persuasion. i'm not saying ethical types can't do it, i'm saying they prefer not to, like you just showed me."	"this would be of persuasion. i ' not saying types ' t do, i ' saying they prefer to, you showed me."
"ENTJ"	"every damn day i experience this. even with my family i experience this. i get started up on a topic, and then i realize that nobody understands me. i have to make myself seem more stupid just to fit..."	"every damn day i experience this. even with family experience this. i get started a topic, then i realize that understands me. have to seem more stupid just to. .."
"ENTJ"	"that's an unusual definition of genius. in the everyday sense, jobs was certainly a genius. in the fashion you mean...? purely from the viewpoint of the world of technology, he had or was..."	"' unusual of genius. in the everyday, certainly a genius. the you mean. .. ? purely from the viewpoint of the world of technology, he or was. .."
"ENTJ"	"i find that it's hard for me to find someone, maybe i'm hard to be approached(sometimes i sense that they rare interested in me but i don't, and i did not give them chances.) so far only <mbti> and..."	"i it ' s hard me to, maybe i ' hard to be approached (sometimes sense that they rare me i don ' t, and i did not give them chances.) so far only <mbti> and. .."
"ENTJ"	"i would say that reputation is more important to me but technically a reputation is a sort of unspoken compliment held by many people. if i constantly heard compliments personally, i would assume..."	"i would say reputation important to me technically a reputation is of compliment held by many people. if i heard, i would assume. .."
"ENTJ"	"come on man.. i'm an <mbti>... and i don't think <mbti>'s are badass name me one, just one, cartoon or movie heroes which is an <mbti>..."	"come man. . ' m an <mbti>. .. and i don ' think <mbti> ' s are badass me, just, cartoon movie an <mbti>. .."
"ENTJ"	"<url> also had the pleasure of listening to the short story the zero meter diving team yesterday! bomb magazine ax80x94 the zero meter diving team by jim shepard"	"< url> also had pleasure to the short story the zero meter! magazine ax80x94 the meter by jim shepard"
"ENTJ"	"to make clear, there is no opportunity for me to participate in formal debates with a podium/audience. my experience involves one-on-one, small groups or places like this. my x91debatex92 is more a..."	"make, there is no for to participate in formal debates with a / audience. my experience - -, small groups or places like this. my is more a. .."
"ENTJ"	"i'm an <mbti>, and i've always been torn between slytherin and gryffindor-although they are 2 sides of the same coin. i would say i'm slytherin though-cunning, straight-forward, and annoyingly..."	"i ' an <mbti>, i ' always been between and gryffindor - although they are 2 sides of the same coin. i would say i ' - cunning, - forward, annoyingly. .."
"ENTJ"	"i'm afraid to say much more, especially without a subject to focus on. i was a total bad boy in every sense, so what seems reckless to me now seemed quite normal to me back then. to give you some..."	"i ' m afraid to say more, especially without a subject to focus on. i was a total boy every sense, so what seems to me quite to then. to give some. .."
"ENTJ"	"i also think you cant' change your personality. many people hate me for how i speak and act. there isn't a single person in the world who loves to be hated. i hate it, too. i've tried so many..."	"i also think cant ' change your personality. many hate me for i and. there isn ' t a single person in the world who loves to. hate, too. i ' ve so many. .."
"ENTJ"	"i think reading the enneagram would really help you in this case. it sounds exactly like what you are describing and i hope it will help your perspective. many <mbti> are naturally enneagram 8...."	"i think the enneagram would really help you this case. it sounds exactly like you are and it your perspective. many <mbti> are 8. ..."
"ENTJ"	"i have s tendencies... so that would make sense. i don't know much about s's but my n is always the one to score lower than the other functions. but my n is still rather high. i guess detached is..."	"have s. .. so that make sense. i don ' know much about s ' s but my is always one score the other functions. but my n still rather high. i guess detached is. .."
"ENTJ"	"thanks. :) in my experience, <mbti> students, especially female <mbti> students whose <mbti>'ness is at odds with some aspect of our culture, do not have the best gpa's. they are typically brilliant..."	"thanks. :) in my, <mbti>, especially female <mbti> students whose <mbti> ' is with aspect of culture, do have the best gpa '. are typically brilliant. .."
"ENTJ"	"not the answer you're looking for but you simply can't help him here. he will need to find a way to de-stress after work (running and working out are magical for this). at work he probably needs to..."	"not the ' re looking for but simply can ' t help him. will to find a de - after (running and working out are magical for this ). at work he probably needs to. .."
"ENTJ"	"this is exactly why i love sad movies. i stop thinking and think only about the movie. the engagement from sad devastating movies is an exceptional release for me - the pianist - schindlers list'"	"this is i love sad movies. i thinking and think only about movie. from devastating movies is an release for me - - schindlers list '"
"ENTJ"	"i read somewhere on this forum that james roday is an <mbti>. my first guess for his type is <mbti> because i get the feeling that introverted thinking is his first mbti function and the fact that i'm an..."	"i read somewhere on this forum that james an <mbti>. my first guess for type is <mbti> i that introverted thinking is his first mbti function and that ' m an. .."
"ENTJ"	"i think he actually may be <mbti>, a good bit more so than <mbti>, although he would disagree and say i'm not sensitive."	"think may be <mbti>, good bit so than <mbti>, he would and say ' m sensitive."
"ENTJ"	"i don't disagree with your thread at all, so the purpose of this post is for me to affirm that to you. entjs are perceived as arrogant largely because we feel immensely self-empowered by our..."	"don ' t with all, so the purpose of this post is me to affirm that to you. entjs are perceived as arrogant largely we immensely - empowered by our. .."
"ENTJ"	"this is awesome. i had to double check it wasn't an onion article. teacher threatens to spoil 'game of thrones' for disruptive class"	"this is. i to it wasn ' t an onion. threatens spoil ' of ' for disruptive class"
"ENTJ"	"yes, i like high standards but it's just not practical enough. if i'm attracted to a woman then i just am. i didn't selectively take the time to think about it and choose to be. my brain fired off my..."	"yes, i like standards it ' s just not enough. if i ' m attracted to a woman then i just. i ' take the to think about and choose to be. my brain off my. .."
"ENTJ"	"lol it wasn't until you said this and yes it's not that easy typing young people. sorry. :( that i was sure about seeing fi in you. by the way you seem like a really cool person. what's..."	"it wasn ' t until you said this and it ' s not that easy typing young people. .: (that i was about seeing in you. by you like a really person. what ' s. .."
"ENTJ"	"definitely agreed about intps. finally! as for isfps... they seem kinda dull to me, most of the time. rarely can i have an entertaining conversation with one. it becomes boring rather quickly...."	"definitely about intps. finally! as isfps. .. they seem kinda, most of the. rarely have an entertaining conversation one. it becomes boring quickly. ..."
"ENTJ"	"my first language is russian 😆 i'm bilingual. also tried learning german, but i forgot everything because of the lack of practice. internet helps me remember both english and russian though..."	"first language is russian i ' m. also tried learning, but everything of the lack of practice. helps both english and russian though. .."
"ENTJ"	"i sometimes feel like a walking list of pet peeves. a few of mine are: -people being verbose -people being extremely loud -unprofessional/overly emotional book, music, and movie reviews ..."	"sometimes feel a walking pet peeves. a few mine are: - people being verbose - people extremely - / overly book, music, and movie reviews. .."
"ENTJ"	"i love weddings, as long as i am comfortable with the people there. however, i don't think thousands should be spent on dresses and the like. i would prefer that money be spent to ensure that guests..."	"i love weddings, as long as i comfortable with the there. , i ' t thousands should be and like. would prefer that money be spent to ensure that guests. .."
"ENTJ"	"evolution. basically nature figured out that shit gets done if you have a decent amount of ts. add some female fs and men have a reason not to be gay."	"evolution. basically nature that shit done you have a amount of. add female fs and have reason not to gay."
"ENTJ"	"i'm tiny (under 5'3) and made management at 23, right after the completion of my masters. had plenty of older men attempt to condescend. i let them when it was to my advantage and sandbagged them,..."	"i ' m tiny (under ' 3) and made management 23, after the completion masters. had plenty of men to condescend. i let them when to my and sandbagged them, ..."
"ENTJ"	"'usually when i am in a group consisting largely of morons and there is that one other person who isn't a moron. i feel like i am being appreciated whilst not offending people."	"' when i group consisting largely of morons and there that one person who isn ' t a moron. feel like i am being whilst offending."
"ENTJ"	"for one, i think the shame-and-be-damned approach of wiki leaks is immoral and foolhardy. that is, it excludes those whom it is apparently trying to help by attempting to 'forcibly reform' by turning..."	"for one, i think the shame - - - damned approach of wiki leaks immoral and foolhardy. that is, it those is apparently attempting to ' forcibly reform ' by turning. .."
"ENTJ"	"with all seriousness, this is actually a good idea. the actual method of how you say it isn't really the issue, as long as it's very direct and not (or at least minimally) mushy."	"with seriousness, actually a good idea. the of how you say it isn ' t issue, as it ' s very direct and not (or at least minimally )."
"ENTJ"	"when i'm debating or arguing, i think people mistake my passion for the subject as anger. i hate when people don't hear me out, or cut me off (though i may do that to do them); then i get frustrated...."	"i ' debating or arguing, think people mistake my passion the subject anger. i hate when people don ' t hear me, or off (though i do that to do them ); then i get. ..."
"ENTJ"	"i feel like i have lost a lot of things that mattered a lot to me, because i didn't give efforts into keeping them."	"feel like i a lot of mattered a lot to me, because i didn ' t keeping."
"ENTJ"	"honestly, i'm prefer neither. if i had to choose, i'd choose cats because they are less needy to fit my busy lifestyle. i tried having a dog... it didn't work out. also for some reason, all dogs seem..."	", i ' m neither. if i had to choose, i ' cats they are less needy to fit my busy. tried having a dog. .. it didn ' t work out. for some, dogs seem. .."
"ENTJ"	"than you can buy research on therapies to fix that. you'll probably need a lot of money, but still ^^"	"than you can research therapies. you ' ll a of money, but still ^ ^"
"ENTJ"	"i don't know of many entjs in film or television, but i do know that i relate really, really strongly to intjs on screen (ex bbc sherlock)."	"i don ' t of in television, but i do know i relate, strongly to intjs on screen (sherlock )."
"ENTJ"	"i'd rather invest and focus my energy on one person seeing as all healthy relationships require decent work. also, polyamorous relationships requires more time which i unfortunately do not possess...."	"i ' d rather invest and energy on person as all healthy relationships decent work. , polyamorous requires more time which unfortunately do. ..."
"ENTJ"	"that's usually what i try to do. however, in this situation, my buffer person failed me and i was left feeling jilted and floundering and, consequently, angry."	"that ' s what i do. , in this situation, my person me and i left feeling jilted, consequently, angry."
"ENTJ"	"1. an intellectual equal 2. understands me deeply 3. growth-oriented mindset 4. challenge. i don't respect people who don't stand up to me. 5. engaging conversation 6. sex"	"1. an intellectual 2. understands me deeply. - mindset 4. challenge. ' t respect people who don ' t stand to me. 5. engaging."
"ENTJ"	"ah, a long overdue wind down. a latte at the new local coffee stop. happy birthday for last week fumetsu, how was melting pot? what is that... cheese fondue?"	"ah, a long overdue down. a latte the new local coffee stop. birthday for last week, ? what is. .. fondue?"
"ENTJ"	"i can relate to every thought of yours. i guess small touches of someone i'd love might be great, but random people hugging me or kissing me on the cheeks... that's just not acceptable. i sort of..."	"i can relate to every thought of. i guess touches of someone i ' might be great, people hugging or kissing me the cheeks. .. that ' s just not. i sort. .."
"ENTJ"	"apollonouta oops sorry! not trying to attack you, that's just how i speak. remember, i'm just a whale on the internet, i don't actually know the first thing about you. my advice is more general..."	"apollonouta! not attack you, that ' just how i speak. , i ' m just whale on the, i don ' t know the first thing about you. my advice more general. .."
"ENTJ"	"sayonara i love this sir critique a lot you mention so much. he reminds me of my good friend, madame do-it-better-next-time.'"	"i this a lot you mention so. he me of good, madame - it - - next - time. '"
"ENTJ"	"why do you care what they think? unless they think your motivations are always negative and it somehow affects your life. i don't think an <mbti> will ever understand me either, but i just let them..."	"why you care what? unless they your always negative and it somehow affects your life. i don ' t think an <mbti> will ever, but i just let. .."
"ENTJ"	"in my area [ny metro] it does seem like the jobs where a communications/journalism/english degree is needed are plentiful. you have a point about advertising, even though that could fall under..."	"in area [metro] it does seem like a communications / journalism / english degree is are. you a point about advertising, even though that could. .."
"ENTJ"	"interesting. i don't think i am an <mbti>, and i honestly don't think i am an <mbti> either although i can recognize with a few parts. i know a few estjs and istjs and all of them come across as sheep to..."	"interesting. i ' t think i <mbti>, i honestly don ' t think i am an <mbti> either although i can recognize parts. know a estjs and istjs and all of them come across as to. .."
"ENTJ"	"i hope that makes you feel better. making people feel good about themselves is important to me, and i hope you aren't angry or sad about something i said. do you want anything that could make you..."	"i hope that makes you feel better. making feel good themselves is to me, and hope ' t angry or sad something i said. do want could make you. .."
"ENTJ"	"i live with an <mbti>, who definitely has a schedule. getting to work in the morning is a very well planned and meticulous activity. may i ask, what is your reasoning behind these schedules, which..."	"live an <mbti>, who definitely has a schedule. to in morning a well planned and meticulous activity. may i, what is your reasoning these schedules, which. .."
"ENTJ"	"i write prose, music and code on my free time. at work, i do mostly graphic design. i try to plan my life so that i'm able to spend as much time as possible practicing different artistic skills."	"write prose, music and code on my free. at work, do mostly graphic. i try plan life so that ' m able to as much time as possible different artistic."
"ENTJ"	"if we're talking about physics, i'm not sure i quite follow your trail of thought. the observer effect implies things are not finite, that some things are not measurable and that thus, by..."	"if we ' re talking about physics, ' m not sure quite follow your of thought. the are not, that some things are not measurable thus, by. .."
"ENTJ"	"honestly, i'm a lot more likely to make myself guilty than someone else. if somebody tries to guilt me about something i tend to just get annoyed at them, usually. generally i can back up most of the..."	"honestly, i ' m a lot more likely to make myself guilty else. somebody to guilt me i tend to just annoyed at them, . generally can back up most the. .."
"ENFJ"	"kyusaku don't worry about what you said, i understand that you were letting your frustration out. i wasn't really offended, i just wanted to tell you that enfjs really do commit, but i see that..."	"kyusaku don ' t worry about what you said, i understand were letting your frustration out. i wasn ' really offended, i to tell enfjs do commit, i see. .."
"ENFJ"	"i definitely enjoy having my alone time, but at the same time i want to be alone with people? going out and going on random adventures is fun but i'm also super content just staying at home, playing..."	"i definitely enjoy my time, at the same time i want to be alone with people? and going on adventures is fun but i ' m super staying at home, ..."
"ENFJ"	"isn't it crazy when someone you barely know tells you such personal stuff? it happens to me all the time too! i've had complete strangers on the street tell me they were recovering heroine addicts,..."	"isn ' t when someone know tells you such personal stuff? it happens to me all the! ' ve had complete strangers on street tell they were recovering addicts, ..."
"ENFJ"	"cognitive dissonance doesn't feel present in this situation for me. he told me he is open about talking about the past but i'm not ready yet. so that's on me, the closure stuff. but i am trusting my..."	"cognitive dissonance doesn ' present me. he told me he is talking about the past but i ' ready yet. so that ' s on me, the closure stuff. but i am trusting my. .."
"ENFJ"	"i suppose that's true... i dunno, it just seems to me that he exaggerates his behavior, you know, he's acting, which is why he focuses on the physical stuff, so i guess that could mean that his..."	"i suppose ' s. .. i, it just seems to me he exaggerates his behavior, know, he ' s acting, which is he focuses the physical, so i guess could mean that. .."
"ENFJ"	"that seems normal to me honestly. during high school, work, and pretty much anywhere that's the same for me. i also find people being nice to me because i come off as too nice i'm not sure if..."	"that normal to me honestly. during school, work, and anywhere ' s the same me. i people being nice to me because come off as too nice i ' not sure if. .."
"ENFJ"	"one time, while reading a live celebrity q&a with fans, i saw somebody ask do you want to build a snowman? and thought it was hilarious. i said to myself, next time i see a q&a on pc, i'm going to..."	"one time, reading a live celebrity q & a with fans, i saw somebody ask do you want to a snowman? and thought it was. said to myself, time i a & a on pc, ' to. .."
